CommentCount,DownVotes,Outlier,Reputation,Score,UpVotes,ViewCount,Views,postId,userId_posts,userId_users
3,5,Reputation,6792,81,662,,1145,5,23.0,5
5,0,Reputation,457,152,47,29229.0,114,6,5.0,6
3,0,Reputation,429,76,20,5808.0,56,7,38.0,7
2,25,Reputation,6764,0,604,288.0,1089,8,37.0,8
4,1,Reputation,817,14,44,,178,13,23.0,13
0,1,Reputation,345,9,13,1261.0,14,17,,17
1,6,Reputation,591,102,693,21916.0,90,22,66.0,22
1,1,Reputation,308,10,34,7694.0,52,23,69.0,23
0,1,Reputation,344,17,36,,48,24,61.0,24
4,23,Reputation,4968,7,328,2095.0,641,25,69.0,25
14,7,Reputation,3150,18,138,3476.0,257,26,75.0,26
0,1,Reputation,2250,5,28,,318,29,36.0,29
2,3,Reputation,2185,7,40,705.0,312,30,69.0,30
7,1,Reputation,1570,41,26,67396.0,173,36,8.0,36
0,0,Reputation,1651,4,12,210.0,255,39,59.0,39
0,0,Reputation,611,8,12,,83,41,83.0,41
0,0,Reputation,861,7,12,,62,52,36.0,52
5,2,Reputation,360,11,21,497.0,18,54,55.0,54
0,1,Reputation,366,7,48,,16,55,56.0,55
7,0,Reputation,563,56,10,,64,56,,56
1,0,Reputation,402,24,51,,82,59,39.0,59
5,4,Reputation,1956,22,39,,147,61,74.0,61
0,3,Reputation,549,4,13,124.0,90,62,58.0,62
0,0,Reputation,614,5,12,,102,66,41.0,66
0,6,Reputation,530,3,630,,174,69,56.0,69
0,1,Reputation,1936,2,2317,,328,71,36.0,71
0,0,Reputation,800,6,58,,77,72,96.0,72
0,65,Reputation,2316,25,74,,1126,74,88.0,74
4,0,Reputation,321,5,4,754.0,44,75,69.0,75
7,0,Reputation,260,16,36,,8,77,74.0,77
0,0,Reputation,1307,7,86,,80,81,69.0,81
0,0,Reputation,804,2,11,,64,83,5.0,83
0,4,Reputation,1281,5,61,,105,89,55.0,89
0,0,Reputation,561,3,27,,287,90,22.0,90
0,0,Reputation,441,4,18,,80,96,5.0,96
0,1,Reputation,291,10,141,,24,98,39.0,98
6,0,Reputation,502,40,109,,49,101,,101
6,1,Reputation,261,28,41,1990.0,34,103,5.0,103
1,0,Reputation,305,14,4,,171,108,5.0,108
2,1,Reputation,443,3,9,,59,110,61.0,110
1,1,Reputation,708,30,44,1220.0,61,114,8.0,114
11,0,Reputation,473,122,46,39118.0,60,118,83.0,118
2,0,Reputation,391,75,0,29261.0,31,125,5.0,125
2,0,Reputation,758,21,41,,241,139,5.0,139
0,1,Reputation,1396,17,477,,269,144,22.0,144
3,0,Reputation,321,20,6,,23,154,108.0,154
0,59,Reputation,18283,8,1014,,3781,159,145.0,159
6,0,Reputation,276,5,1,,12,163,81.0,163
1,0,Reputation,564,10,15,,113,172,74.0,172
0,0,Reputation,453,15,15,2519.0,39,173,71.0,173
0,4,Reputation,792,35,163,,78,174,159.0,174
0,10,Reputation,1416,12,352,,147,179,159.0,179
1,45,Reputation,22625,3,2496,753.0,4069,183,166.0,183
0,0,Reputation,446,3,6,,69,187,119.0,187
0,24,Reputation,1166,7,482,,146,190,25.0,190
0,0,Reputation,313,3,8,,16,191,173.0,191
2,114,Reputation,6140,19,497,4090.0,649,196,87.0,196
0,0,Reputation,908,3,69,,42,198,61.0,198
0,3,Reputation,1815,4,149,,188,199,5.0,199
3,1,Reputation,337,9,32,,47,210,183.0,210
0,0,Reputation,586,6,0,,11,211,187.0,211
0,0,Reputation,266,4,29,,31,214,40.0,214
2,0,Reputation,2496,1,5,,384,215,187.0,215
